T      Bact  Phage     Lys   VMR  P_spec B_spec 
 144  897672 10189159  203005  9.3   98   75 
 145  897672 10189159  203005  9.3   98   75 
 146  897672 10189159  203005  9.3   98   75 
 147  897672 10189159  203005  9.3   98   75 
 148  897672 10189159  203005  9.3   98   75 
 149  897672 10189159  203005  9.3   98   75 
 150  897672 10189159  203005  9.3   98   75 
 151  897672 10189159  203005  9.3   98   75 
 152  897672 10189159  203005  9.3   98   75 
 153  897672 10189159  203005  9.3   98   75 
 154  897672 10189159  203005  9.3   98   75 
 155  897672 10189159  203005  9.3   98   75 
 156  897672 10189159  203005  9.3   98   75 
 157  897672 10189159  203005  9.3   98   75 
 158  897672 10189159  203005  9.3   98   75 
 159  897672 10189159  203005  9.3   98   75 
 160  897672 10189159  203005  9.3   98   75 
 161  897672 10189159  203005  9.3   98   75 
 162  897672 10189159  203005  9.3   98   75 
 163  897672 10189159  203005  9.3   98   75 
 164  897672 10189159  203005  9.3   98   75 
 165  897672 10189159  203005  9.3   98   75 
 166  897672 10189159  203005  9.3   98   75 
 167  897672 10189159  203005  9.3   98   75 
 168  897672 10189159  203005  9.3   98   75 
 169  897672 10189159  203005  9.3   98   75 
 170  897672 10189159  203005  9.3   98   75 
 171  897672 10189159  203005  9.3   98   75 
 172  897672 10189159  203005  9.3   98   75 
 173  897672 10189159  203005  9.3   98   75 
 174  897672 10189159  203005  9.3   98   75 
 175  897672 10189159  203005  9.3   98   75 
 176  897672 10189159  203005  9.3   98   75 
 177  897672 10189159  203005  9.3   98   75 
 178  897672 10189159  203005  9.3   98   75 
 179  897672 10189159  203005  9.3   98   75 
 180  897672 10189159  203005  9.3   98   75 
 181  897672 10189159  203005  9.3   98   75 
 182  897672 10189159  203005  9.3   98   75 
 183  897672 10189159  203005  9.3   98   75 
 184  897672 10189159  203005  9.3   98   75 
 185  897672 10189159  203005  9.3   98   75 
 186  897672 10189159  203005  9.3   98   75 
 187  897672 10189159  203005  9.3   98   75 
 188  897672 10189159  203005  9.3   98   75 
 189  897672 10189159  203005  9.3   98   75 
 190  897672 10189159  203005  9.3   98   75 
 191  897672 10189159  203005  9.3   98   75 
 192  897672 10189159  203005  9.3   98   75 
 193  897672 10189159  203005  9.3   98   75 
 194  897672 10189159  203005  9.3   98   75 
 195  897672 10189159  203005  9.3   98   75 
 196  897672 10189159  203005  9.3   98   75 
 197  897672 10189159  203005  9.3   98   75 
 198  897672 10189159  203005  9.3   98   75 
 199  897672 10189159  203005  9.3   98   75 
 200  897672 10189159  203005  9.3   98   75 
 201  897672 10189159  203005  9.3   98   75 
 202  897672 10189159  203005  9.3   98   75 
 203  897672 10189159  203005  9.3   98   75 
 204  897672 10189159  203005  9.3   98   75 
 205  897672 10189159  203005  9.3   98   75 
 206  897672 10189159  203005  9.3   98   75 
 207  897672 10189159  203005  9.3   98   75 
 208  897672 10189159  203005  9.3   98   75 
 209  897672 10189159  203005  9.3   98   75 
 210  897672 10189159  203005  9.3   98   75 
 211  897672 10189159  203005  9.3   98   75 
 212  897672 10189159  203005  9.3   98   75 
 213  897672 10189159  203005  9.3   98   75 
 214  897672 10189159  203005  9.3   98   75 
 215  897672 10189159  203005  9.3   98   75 
 216  897672 10189159  203005  9.3   98   75 
 217  897672 10189159  203005  9.3   98   75 
 218  897672 10189159  203005  9.3   98   75 
 219  897672 10189159  203005  9.3   98   75 
 220  897672 10189159  203005  9.3   98   75 
 221  897672 10189159  203005  9.3   98   75 
 222  897672 10189159  203005  9.3   98   75 
 223  897672 10189159  203005  9.3   98   75 
 224  897672 10189159  203005  9.3   98   75 
 225  897672 10189159  203005  9.3   98   75 
 226  897672 10189159  203005  9.3   98   75 
 227  897672 10189159  203005  9.3   98   75 
 228  897672 10189159  203005  9.3   98   75 
 229  897672 10189159  203005  9.3   98   75 
 230  897672 10189159  203005  9.3   98   75 
 231  897672 10189159  203005  9.3   98   75 
 232  897672 10189159  203005  9.3   98   75 
 233  897672 10189159  203005  9.3   98   75 
 234  897672 10189159  203005  9.3   98   75 
 235  897672 10189159  203005  9.3   98   75 
 236  897672 10189159  203005  9.3   98   75 
 237  897672 10189159  203005  9.3   98   75 
 238  897672 10189159  203005  9.3   98   75 
 239  897672 10189159  203005  9.3   98   75 
 240  897672 10189159  203005  9.3   98   75 
 241  897672 10189159  203005  9.3   98   75 
 242  897672 10189159  203005  9.3   98   75 
 243  897672 10189159  203005  9.3   98   75 
 244  897672 10189159  203005  9.3   98   75 
 245  897672 10189159  203005  9.3   98   75 
 246  897672 10189159  203005  9.3   98   75 
 247  897672 10189159  203005  9.3   98   75 
 248  897672 10189159  203005  9.3   98   75 
 249  897672 10189159  203005  9.3   98   75 
 250  897672 10189159  203005  9.3   98   75 
 251  897672 10189159  203005  9.3   98   75 
 252  897672 10189159  203005  9.3   98   75 
 253  897672 10189159  203005  9.3   98   75 
 254  897672 10189159  203005  9.3   98   75 
 255  897672 10189159  203005  9.3   98   75 
 256  897672 10189159  203005  9.3   98   75 
 257  897672 10189159  203005  9.3   98   75 
 258  897672 10189159  203005  9.3   98   75 
 259  897672 10189159  203005  9.3   98   75 
 260  897672 10189159  203005  9.3   98   75 
 261  897672 10189159  203005  9.3   98   75 
 262  897672 10189159  203005  9.3   98   75 
 263  897672 10189159  203005  9.3   98   75 
 264  897672 10189159  203005  9.3   98   75 
 265  897672 10189159  203005  9.3   98   75 
 266  897672 10189159  203005  9.3   98   75 
 267  897672 10189159  203005  9.3   98   75 
 268  897672 10189159  203005  9.3   98   75 
 269  897672 10189159  203005  9.3   98   75 
 270  897672 10189159  203005  9.3   98   75 
 271  897672 10189159  203005  9.3   98   75 
 272  897672 10189159  203005  9.3   98   75 
 273  897672 10189159  203005  9.3   98   75 
 274  897672 10189159  203005  9.3   98   75 
 275  897672 10189159  203005  9.3   98   75 
 276  897672 10189159  203005  9.3   98   75 
 277  897672 10189159  203005  9.3   98   75 
 278  897672 10189159  203005  9.3   98   75 
 279  897672 10189159  203005  9.3   98   75 
 280  897672 10189159  203005  9.3   98   75 
 281  897672 10189159  203005  9.3   98   75 
 282  897672 10189159  203005  9.3   98   75 
 283  897672 10189159  203005  9.3   98   75 
 284  897672 10189159  203005  9.3   98   75 
 285  897672 10189159  203005  9.3   98   75 
 286  897672 10189159  203005  9.3   98   75 
 287  897672 10189159  203005  9.3   98   75 
 288  897672 10189159  203005  9.3   98   75 
 289  897672 10189159  203005  9.3   98   75 
 290  897672 10189159  203005  9.3   98   75 
 291  897672 10189159  203005  9.3   98   75 
 292  897672 10189159  203005  9.3   98   75 
 293  897672 10189159  203005  9.3   98   75 
 294  897672 10189159  203005  9.3   98   75 
 295  897672 10189159  203005  9.3   98   75 
 296  897672 10189159  203005  9.3   98   75 
 297  897672 10189159  203005  9.3   98   75 
 298  897672 10189159  203005  9.3   98   75 
 299  897672 10189159  203005  9.3   98   75 
 300  897672 10189159  203005  9.3   98   75 
 301  897672 10189159  203005  9.3   98   75 
 302  897672 10189159  203005  9.3   98   75 
 303  897672 10189159  203005  9.3   98   75 
 304  897672 10189159  203005  9.3   98   75 
 305  897672 10189159  203005  9.3   98   75 
 306  897672 10189159  203005  9.3   98   75 
 307  897672 10189159  203005  9.3   98   75 
 308  897672 10189159  203005  9.3   98   75 
 309  897672 10189159  203005  9.3   98   75 
 310  897672 10189159  203005  9.3   98   75 
 311  897672 10189159  203005  9.3   98   75 
 312  897672 10189159  203005  9.3   98   75 
 313  897672 10189159  203005  9.3   98   75 
 314  897672 10189159  203005  9.3   98   75 
 315  897672 10189159  203005  9.3   98   75 
 316  897672 10189159  203005  9.3   98   75 
 317  897672 10189159  203005  9.3   98   75 
 318  897672 10189159  203005  9.3   98   75 
 319  897672 10189159  203005  9.3   98   75 
 320  897672 10189159  203005  9.3   98   75 
 321  897672 10189159  203005  9.3   98   75 
 322  897672 10189159  203005  9.3   98   75 
 323  897672 10189159  203005  9.3   98   75 
 324  897672 10189159  203005  9.3   98   75 
 325  897672 10189159  203005  9.3   98   75 
 326  897672 10189159  203005  9.3   98   75 
 327  897672 10189159  203005  9.3   98   75 
 328  897672 10189159  203005  9.3   98   75 
 329  897672 10189159  203005  9.3   98   75 
 330  897672 10189159  203005  9.3   98   75 
 331  897672 10189159  203005  9.3   98   75 
 332  897672 10189159  203005  9.3   98   75 
 333  897672 10189159  203005  9.3   98   75 
 334  897672 10189159  203005  9.3   98   75 
 335  897672 10189159  203005  9.3   98   75 
 336  897672 10189159  203005  9.3   98   75 
 337  897672 10189159  203005  9.3   98   75 
 338  897672 10189159  203005  9.3   98   75 
 339  897672 10189159  203005  9.3   98   75 
 340  897672 10189159  203005  9.3   98   75 
 341  897672 10189159  203005  9.3   98   75 
 342  897672 10189159  203005  9.3   98   75 
 343  897672 10189159  203005  9.3   98   75 
 344  897672 10189159  203005  9.3   98   75 
 345  897672 10189159  203005  9.3   98   75 
 346  897672 10189159  203005  9.3   98   75 
 347  897672 10189159  203005  9.3   98   75 
 348  897672 10189159  203005  9.3   98   75 
 349  897672 10189159  203005  9.3   98   75 
 350  897672 10189159  203005  9.3   98   75 
 351  897672 10189159  203005  9.3   98   75 
 352  897672 10189159  203005  9.3   98   75 
 353  897672 10189159  203005  9.3   98   75 
 354  897672 10189159  203005  9.3   98   75 
 355  897672 10189159  203005  9.3   98   75 
 356  897672 10189159  203005  9.3   98   75 
 357  897672 10189159  203005  9.3   98   75 
 358  897672 10189159  203005  9.3   98   75 
 359  897672 10189159  203005  9.3   98   75 
 360  897672 10189159  203005  9.3   98   75 
 361  897672 10189159  203005  9.3   98   75 
 362  897672 10189159  203005  9.3   98   75 
 363  897672 10189159  203005  9.3   98   75 
 364  897672 10189159  203005  9.3   98   75 
 365  897672 10189159  203005  9.3   98   75 
 366  897672 10189159  203005  9.3   98   75 
 367  897672 10189159  203005  9.3   98   75 
 368  897672 10189159  203005  9.3   98   75 
