T      Bact  Phage     Lys   VMR  P_spec B_spec 
 144  830841 10191752  347813  8.6   98   70 
 145  830841 10191752  347813  8.6   98   70 
 146  830841 10191752  347813  8.6   98   70 
 147  830841 10191752  347813  8.6   98   70 
 148  830841 10191752  347813  8.6   98   70 
 149  830841 10191752  347813  8.6   98   70 
 150  830841 10191752  347813  8.6   98   70 
 151  830841 10191752  347813  8.6   98   70 
 152  830841 10191752  347813  8.6   98   70 
 153  830841 10191752  347813  8.6   98   70 
 154  830841 10191752  347813  8.6   98   70 
 155  830841 10191752  347813  8.6   98   70 
 156  830841 10191752  347813  8.6   98   70 
 157  830841 10191752  347813  8.6   98   70 
 158  830841 10191752  347813  8.6   98   70 
 159  830841 10191752  347813  8.6   98   70 
 160  830841 10191752  347813  8.6   98   70 
 161  830841 10191752  347813  8.6   98   70 
 162  830841 10191752  347813  8.6   98   70 
 163  830841 10191752  347813  8.6   98   70 
 164  830841 10191752  347813  8.6   98   70 
 165  830841 10191752  347813  8.6   98   70 
 166  830841 10191752  347813  8.6   98   70 
 167  830841 10191752  347813  8.6   98   70 
 168  830841 10191752  347813  8.6   98   70 
 169  830841 10191752  347813  8.6   98   70 
 170  830841 10191752  347813  8.6   98   70 
 171  830841 10191752  347813  8.6   98   70 
 172  830841 10191752  347813  8.6   98   70 
 173  830841 10191752  347813  8.6   98   70 
 174  830841 10191752  347813  8.6   98   70 
 175  830841 10191752  347813  8.6   98   70 
 176  830841 10191752  347813  8.6   98   70 
 177  830841 10191752  347813  8.6   98   70 
 178  830841 10191752  347813  8.6   98   70 
 179  830841 10191752  347813  8.6   98   70 
 180  830841 10191752  347813  8.6   98   70 
 181  830841 10191752  347813  8.6   98   70 
 182  830841 10191752  347813  8.6   98   70 
 183  830841 10191752  347813  8.6   98   70 
 184  830841 10191752  347813  8.6   98   70 
 185  830841 10191752  347813  8.6   98   70 
 186  830841 10191752  347813  8.6   98   70 
 187  830841 10191752  347813  8.6   98   70 
 188  830841 10191752  347813  8.6   98   70 
 189  830841 10191752  347813  8.6   98   70 
 190  830841 10191752  347813  8.6   98   70 
 191  830841 10191752  347813  8.6   98   70 
 192  830841 10191752  347813  8.6   98   70 
 193  830841 10191752  347813  8.6   98   70 
 194  830841 10191752  347813  8.6   98   70 
 195  830841 10191752  347813  8.6   98   70 
 196  830841 10191752  347813  8.6   98   70 
 197  830841 10191752  347813  8.6   98   70 
 198  830841 10191752  347813  8.6   98   70 
 199  830841 10191752  347813  8.6   98   70 
 200  830841 10191752  347813  8.6   98   70 
 201  830841 10191752  347813  8.6   98   70 
 202  830841 10191752  347813  8.6   98   70 
 203  830841 10191752  347813  8.6   98   70 
 204  830841 10191752  347813  8.6   98   70 
 205  830841 10191752  347813  8.6   98   70 
 206  830841 10191752  347813  8.6   98   70 
 207  830841 10191752  347813  8.6   98   70 
 208  830841 10191752  347813  8.6   98   70 
 209  830841 10191752  347813  8.6   98   70 
 210  830841 10191752  347813  8.6   98   70 
 211  830841 10191752  347813  8.6   98   70 
 212  830841 10191752  347813  8.6   98   70 
 213  830841 10191752  347813  8.6   98   70 
